code|color_custom|chassis_custom|engine_custom|wheels_custom|suspension_custom|delivery_time
GMC82633180|0|0|0|1|0|4
GMC0195508F|1|1|0|0|1|7
GMC56D0F5D3|0|0|0|1|1|2
GMC1078CBA7|0|0|0|0|0|3
HONAADA0096|0|1|0|1|1|5
HOND2D9698F|1|0|1|0|0|9
HON6E6DEAA6|1|0|0|1|1|3
HON88E60D60|0|0|0|0|1|4
HONAFB7BDBE|0|0|0|1|0|7
HONA556E8ED|0|1|0|0|0|2
HONBD9C249E|0|0|1|1|0|2
HON1B8B727D|0|0|0|1|0|3
HONBA0EC69E|0|0|0|0|1|2
HON37F794AD|1|0|1|0|0|10
HON1B0FC08F|0|1|1|1|0|7
HONF943B57D|0|0|0|0|0|6
HON421FD985|1|1|1|1|1|3
HON5A436B18|1|0|0|0|1|10
HONC794CFBD|0|0|0|0|1|9
HON7111B242|1|1|1|1|1|5
HON9F9440DE|0|1|1|1|1|5
HUMF6FCF7E7|0|1|0|1|0|4
HYU18B72EFD|0|1|1|1|1|3
HYU580C4D20|0|1|0|1|1|3
HYUB9F2144C|0|0|1|1|0|2
HYU6BB0790A|0|0|1|0|0|9
HYU7B7052E2|1|1|0|0|0|8
HYU1CE99235|1|1|0|1|1|2
HYU3CD023BC|1|0|0|0|0|6
HYU300A0942|0|1|0|0|0|2
HYU80D30999|0|0|1|0|1|9
HYU4BCE4CF0|1|1|1|1|0|9
HYU63E0A21E|0|0|1|1|0|2
HYU02DA085B|1|0|0|1|0|5
INF0189A021|0|0|0|0|0|2
INF7DCD2882|1|1|0|0|0|2
INF0F22CA95|1|1|1|0|1|6
INFB55E5D19|0|1|0|0|1|10
INFDA755782|0|0|1|0|0|3
INF0A78A9E8|1|0|0|0|1|9
INFF2D205F9|0|1|0|1|1|5
INF18871B77|0|0|1|0|0|8
ISU5F266CF4|1|1|0|0|1|4
ISUF93B4159|1|1|1|0|1|5
JAG599B1A0D|1|0|1|1|0|10
JAG3CD18A0B|1|0|0|0|0|8
JAGCEF6785C|0|0|0|0|1|10
JAG071E8C83|0|0|0|1|0|10
JAGE08397D5|1|0|1|0|0|7
JAGB42EC90C|1|0|1|1|1|8
JAGE1FF849B|1|1|0|1|0|3
JAGA39AC9AA|0|1|0|0|1|3
JAGD2749AED|1|0|1|0|0|5
JAG1AF71FA3|1|1|1|1|0|6
JAGE179760E|1|0|0|0|1|9
JAG28F2B038|1|1|0|0|1|4
JEE2A21CC2D|0|1|1|1|1|3
JEED2758E3F|0|1|1|1|1|5
JEEFC89B4ED|0|1|1|1|0|9
KIA0F23DEC0|0|0|1|0|0|3
KIA42D38E1F|1|1|0|0|1|3
KIADCECC88F|0|0|0|1|0|4
KIA025E0068|1|1|0|1|0|8
KIA8CFE35EE|1|1|1|1|0|9
KIAC5E4EE3C|0|1|0|1|0|5
KIA416A6876|0|0|0|0|1|9
KIA0A88B290|1|1|0|1|1|7
KIA8F6E3563|0|0|1|0|0|2
KIADCEDDC6C|0|1|1|0|1|7
KIA37A6D301|0|0|0|1|1|8
LAN8D64ED29|1|1|0|0|1|5
LAND3EC18A8|1|0|1|0|1|3
LAN0E7F71F1|1|1|1|0|1|9
LEXCB4FF99E|0|0|1|0|1|9
LEXF0FE39AC|1|0|0|0|1|8
LEX565FC72C|0|1|1|0|0|4
LEXF972F414|1|0|1|0|0|8
LEX638E3900|1|0|1|1|0|7
LEX62E433FB|0|0|0|0|0|3
LEXE4F9AD76|0|1|1|1|0|6
LEX162C84B3|1|0|0|1|0|3
LEX31B02686|1|0|1|1|1|3
LEXE8AC0541|0|1|1|0|0|2
LEX1FF20E1A|0|0|0|1|1|9
LIN9A31BF96|1|0|0|0|1|4
LINF6F2860E|0|0|1|1|0|3
LINA9F30F5A|1|0|0|0|0|4
LIN933B360F|0|0|1|1|0|5
LIN72DA79AA|0|0|0|0|0|7
LINC6A10FEE|0|0|0|1|0|7
LIN39FC3913|0|0|0|1|1|2
LIN585A2AE5|1|1|0|1|0|7
LIN57766540|1|1|0|1|0|7
MIN76F419D1|1|0|1|1|1|3
MIN4855F80D|1|0|1|1|0|4
MAZ16929EFE|0|1|0|0|0|9
MAZ63233CD1|0|1|1|0|1|8
MAZ07BAF697|0|0|0|0|0|7
MAZBE352757|1|0|1|1|0|3
MAZ2578E723|0|1|0|1|0|9
MAZAF312A57|0|1|0|1|0|7
MAZD75C181F|0|0|1|0|0|2
MAZ26587D15|0|0|1|0|0|5
MAZ4F45529D|1|0|0|1|1|9
MAZ57DC6B13|0|0|0|0|0|9
MAZ580441D7|1|1|0|0|1|9
MER78AF29A9|0|0|0|0|0|6
MERD21B3BEB|1|1|0|1|0|6
MER6B1F61D6|0|1|1|0|0|2
MERA3CD47D7|0|0|1|1|1|10
MER7494ADC2|1|0|1|0|0|7
MERC3E64656|0|0|0|0|0|7
MER89F97F12|1|0|1|1|1|4
MER9C101571|0|0|0|0|0|10
MER2ECC052D|1|1|0|1|0|7
MERE62B8253|0|0|0|1|1|9
MER1DCF8F33|1|1|0|0|0|10
MER57C9074F|0|1|0|0|0|6
MER8A607D51|0|1|0|1|1|7
MER876504DD|1|0|1|0|0|5
MER88E5887E|0|0|0|0|1|4
MER0810A9D8|1|0|0|0|0|9
MERE94D4BE3|1|0|1|1|0|7
MER1F1CCBB8|0|1|0|0|0|8
MERB2256530|0|1|0|0|1|4
MER3E1CCF76|1|0|0|0|1|9
MERD7D90B93|1|1|0|0|0|8
MER87A5A03D|1|0|1|1|0|8
MER16FF9E4A|0|1|0|1|0|10
MERE398EF29|0|1|1|1|0|6
MERB50E9B1C|0|1|1|0|0|8
MERC072210C|1|1|0|1|0|9
MERBB9D86C3|1|0|1|1|0|2
MER40D6E2EA|1|0|0|0|0|7
MER0A0BF287|0|0|1|0|0|5
MER1B09737E|1|1|1|0|0|3
MER2FF0981B|1|0|1|1|0|4
MER02DAF617|0|1|0|1|1|10
MERBF21168A|1|0|1|1|0|7
MERD341BD66|0|1|0|0|0|8
MER477419FC|0|1|1|1|1|5
MIT799FEB42|1|1|0|1|1|4
MIT4AFC37AB|1|1|0|1|1|4
MITD1B29ED1|1|1|0|1|1|2
MITF9D8A2ED|0|1|1|1|0|10
MITD169170C|1|0|1|1|1|3
MIT2A03FE7A|1|1|0|1|1|6
MIT6D467104|0|1|0|0|1|6
MIT492F7D42|1|1|0|0|1|4
MIT96A3DAB2|1|1|1|1|0|10
MIT31FB003C|1|0|0|0|0|7
MIT8D595BB8|0|0|1|0|1|10
MIT7ECD3E8B|1|1|1|1|0|10
MIT00CCE6CA|1|0|0|1|0|4
NISB2335DE2|0|0|0|1|0|2
NISE3AAF8A0|1|1|1|1|1|8
NIS59D44847|0|1|1|1|0|9
NIS60E1998E|1|0|1|0|0|6
NIS1321143A|0|1|0|0|0|9
NIS0FFF4AF7|1|1|0|0|1|7
NIS39F080B4|1|0|1|0|1|4
NISEA039766|1|1|1|1|0|4
NISC51044AC|0|1|0|1|1|9
NIS19DC1B52|1|0|1|1|1|10
NISA7A903F3|1|0|0|1|0|5
NIS9C819CB3|1|0|0|1|1|10
NIS964B0BE5|1|1|1|0|1|3
NIS75E90668|0|0|1|0|0|8
NISFEE3A002|1|0|0|0|0|9
NIS3B9730D3|0|1|0|1|0|2
NISC1C1D66A|0|0|1|0|1|9
OLD6D193A1C|0|1|0|0|0|2
OLDD93046B5|0|0|0|1|0|10
OLD22880819|1|0|0|0|1|10
PONE912685F|0|0|0|1|1|2
PON8935B7E8|1|0|0|0|0|9
PON49A0F8D6|0|1|1|1|1|5
PON21B42FC2|1|1|1|1|0|3
PON2BDE75ED|1|0|0|0|0|7
PON54370D79|1|1|0|0|1|7
PON06927A2E|1|0|1|1|0|3
PONC3D21809|1|0|1|1|0|7
PON7E0F2F13|1|1|0|0|0|2
PONE21BE36A|1|0|1|1|0|10
PON23E8E337|1|1|1|0|1|5
POR8D46DF29|1|1|1|1|1|7
PORC2C27112|1|0|1|1|1|6
POR31514F20|0|1|1|1|1|7
POR07229E38|1|0|0|0|1|10
POR3F3F7451|1|0|0|0|1|7
POR418B21D0|0|0|0|0|0|10
POR01FFC027|1|1|0|0|0|4
SAA19B57A2B|0|1|1|1|0|3
SAA7832D32D|1|0|1|1|1|5
SAA2844A15D|0|0|0|1|1|4
SAAA77D875C|1|0|0|0|1|9
SAA7288DC71|0|0|1|1|1|4
SAAD728FAC1|0|0|0|1|0|8
SAAB1017DB8|0|0|1|1|1|8
SAT78E7930F|0|1|0|0|1|3
SAT5EC1ED31|0|0|1|1|1|10
SAT6232C62D|0|1|1|0|0|6
SATE22901F9|1|0|1|0|1|4
SAT144F09FE|0|1|0|0|0|5
SAT2E26155E|1|1|0|0|0|7
SAT370F2BF2|0|1|0|1|0|3
SAT4F2871F7|1|1|1|1|0|9
SCI1D91B052|1|0|0|0|0|2
SCI20F98655|1|1|1|1|1|7
SUBED70E27D|1|0|1|0|1|7
SUB3D79FBF6|0|0|1|0|1|9
SUBEC5C1826|1|1|1|0|0|3
SUB2D0B45E4|1|0|1|0|1|3
SUB3B37FEE0|0|0|0|1|0|2
SUB0E1362A7|0|1|0|0|1|4
SUB2A14CFD4|1|1|1|0|0|10
SUBF3BB27D5|0|1|1|1|1|8
SUB1823BE2A|1|1|1|1|1|6
SUBB0475E73|0|0|1|1|0|6
SUB21511A80|0|0|1|0|1|7
SUZDA2AA60E|0|0|1|0|1|2
SUZDBE60A61|1|0|0|0|1|8
SUZ07673969|0|1|0|0|0|6
SUZ78E26F7A|0|1|1|0|1|10
SUZC3815215|1|0|1|1|0|2
SUZBA2B7CB7|1|1|0|0|1|5
SUZC76333C5|0|0|0|0|1|7
SUZ213D309B|1|1|0|1|0|4
TOY921AEAF1|1|1|0|1|1|2
TOYEA996750|0|1|1|1|0|4
TOY03963A58|0|1|1|1|1|9
TOYAF123C64|1|0|1|0|0|9
TOY61CEC8C5|0|0|0|0|1|4
TOYD71B2067|0|1|0|0|1|8
TOY9308DBAC|0|1|0|0|1|6
TOY71A162B9|0|0|0|1|1|4
TOY9934A399|0|1|1|1|1|4
TOYC281D3E2|0|1|1|1|0|10
TOYDBF99A82|0|1|0|0|0|9
TOY198ED124|0|0|0|0|0|6
TOYD75B8268|0|1|0|0|1|8
TOY39D81D16|0|1|0|1|0|3
TOY40902DDB|0|0|0|1|1|10
TOY17F9358A|1|1|0|1|1|5
TOY4C7B2C6A|0|0|1|0|0|8
TOY98E0C169|0|0|0|0|1|9
TOY45EC3689|0|1|0|1|0|4
TOY4A3FA466|1|0|0|0|0|6
TOY950EC112|1|1|0|0|0|4
TOYFB7D7CFC|1|0|0|0|1|3
TOY09324793|1|0|0|1|0|8
TOY0ACDC4EB|1|0|1|1|0|3
TOY69F69484|0|0|1|0|1|4
TOY8EC1453C|0|0|1|1|1|4
TOYA5C08509|0|1|1|0|1|8
TOY7038D4B2|0|1|0|1|1|10
VOL53D66DF7|0|1|0|1|0|8
VOLA9C4F8FB|0|1|1|1|1|4
VOL26590289|1|1|1|1|0|2
VOL51E923EE|1|1|0|1|0|8
VOL3E4BBF06|1|0|1|0|1|8
VOL0AB8F574|0|0|0|0|0|10
VOL67B45A07|1|0|1|0|0|7
VOL6ABCC11C|0|0|1|0|0|3
VOL848CF422|1|1|0|1|0|7
VOLC4A9E6E8|1|1|1|0|1|2
VOLAAB6D3D0|0|1|1|0|1|7
VOL113AF2BA|0|1|1|0|0|4
VOL62768101|1|0|0|0|1|10
VOLC7113640|0|1|1|1|1|2
VOLEDB1106B|0|1|0|1|1|2
VOL3271498A|0|1|0|0|0|10
VOL4491F60D|1|1|1|0|0|3
VOL7F32E164|0|1|1|1|0|3
VOL57A321D1|1|0|0|0|0|3
VOLEBF67762|1|0|1|1|1|8
VOLE5E0AD83|0|1|0|1|1|7
VOL34C043BD|1|0|1|0|0|4
VOLE19D1CD5|1|1|1|1|1|2
VOLC885BC04|0|0|1|1|0|7
VOL966697EF|0|1|0|1|0|8
VOL906135F9|1|0|0|1|1|6
VOL9FD35760|0|1|0|0|0|8
