code|gt7_available|acc_available|fh5_available|pc2_available|ir_available|rf2_available
BUI69EF76B1|1|1|1|1|1|1
BUI9986FE17|0|1|1|1|1|0
BUI4D83CA77|0|1|0|1|1|0
CAD079020A1|0|1|1|1|0|1
CAD6686D405|0|0|1|1|1|1
CAD61E8AD8A|1|1|0|0|1|1
CADB88EC50C|1|0|0|1|0|0
CAD2B26FD02|0|0|1|1|1|1
CADB5DB50CD|1|1|1|0|1|1
CAD2F983923|1|0|1|1|1|0
CAD578A474F|1|0|1|0|1|0
CHE72CE4A3F|1|1|0|0|0|1
CHE8EED569E|0|0|0|1|1|0
CHE450CE6D9|1|1|1|0|0|0
CHEEA01D3E9|1|1|0|0|1|1
CHE5D2217BC|0|1|0|1|0|1
CHE248CDB95|1|0|1|0|0|0
CHEBDECE4F9|0|0|0|1|1|1
CHE470F741D|1|0|1|0|1|0
CHECA25D5D9|1|0|1|0|0|0
CHEEDDE6726|0|1|0|0|0|1
CHE01694D50|1|1|0|0|1|1
CHEBBDE1827|1|0|0|0|1|1
CHE993D0F35|0|0|0|1|0|0
CHEDE5B9621|0|0|1|0|1|0
CHE3637225E|1|0|1|1|0|0
CHEACE10AE0|0|0|1|0|0|0
CHED0766BF4|0|1|0|0|1|0
CHE60EA7CDE|1|0|1|0|0|1
CHE158F2C8B|1|0|1|1|1|0
CHE4605F5F9|0|0|1|1|0|1
CHECDBFE8D4|0|1|1|0|0|1
CHEE1244110|1|1|1|0|0|0
CHE3755A399|1|1|0|1|0|0
CHE73C4CA9C|0|0|1|0|0|0
CHE73533781|1|0|0|0|1|1
CHE16CCEA29|1|0|1|1|0|1
CHE177B9173|1|0|1|0|1|1
CHRF92F068D|0|0|0|0|0|1
CHR1CF1D8CD|1|0|0|0|1|1
CHRE21B0803|0|1|1|0|0|0
CHR2844A5B6|0|0|1|0|0|1
CHR9FC78DBA|1|1|1|0|0|1
CHRA0C81467|1|0|0|0|0|0
CHR32689528|1|0|0|0|0|0
CHRDBE70DCC|0|1|1|0|1|0
CHRA03822E8|0|0|0|1|0|1
CHRE4F8C2BA|1|1|1|0|0|0
CHRA80B66B1|0|0|0|0|1|0
CHRA21A8365|0|0|1|1|1|0
CHR00E089AD|0|1|0|1|0|0
CHR6289DBDB|1|0|1|1|0|1
CHR7D688224|1|1|0|1|0|1
DODEABCB63F|0|0|1|0|0|0
DOD39549D99|1|1|1|0|0|0
DODE1FFA9AB|0|0|0|1|1|0
DOD7F979BC7|1|1|1|1|0|0
DODB33D912D|1|0|1|0|1|1
DOD796C9E7C|1|0|0|0|1|1
DOD30B41E72|1|0|1|0|1|1
DODF62C6393|1|1|1|1|0|0
DOD318AA619|1|0|1|0|1|0
DOD696670B5|1|1|0|0|0|0
DODBFA9E1D1|1|1|1|1|0|0
DODBFDD0548|0|0|0|1|0|1
DOD83AACB16|0|0|0|0|0|1
FOR8E1ED168|1|1|0|1|1|0
FOR096278B7|1|1|1|0|0|0
FORF7BD2348|1|0|1|0|0|1
FOR1A7F0B12|1|1|0|1|0|1
FOR2F1C74F4|0|0|1|1|0|0
FORB93D9591|0|0|1|0|1|0
FOR3287513F|1|1|0|0|1|0
FORB3626D98|0|0|0|1|0|0
FORCEE390FE|0|0|0|1|1|1
FOR93850843|1|0|1|0|0|1
FORB408CE29|0|0|1|0|1|0
FORAEA09136|0|1|0|1|1|1
FOR06A33E79|0|0|1|1|0|0
FOR0073BE2E|1|1|1|1|0|1
FOR4E047DB6|1|0|0|0|1|0
FOR0901AA58|1|1|1|0|1|1
FORC0A9917B|0|0|1|1|0|0
FOR5E10EBA0|0|1|1|1|0|0
FORF597A55E|1|0|0|1|1|1
FORAC85E261|1|1|1|1|1|0
FOR82634A24|1|1|1|0|0|0
FOR62C3D479|0|0|1|0|1|1
FORFF05BAF8|1|1|1|0|1|1
GMCB078A4D5|1|1|0|0|1|0
GMCF8F3FDE3|0|0|0|1|0|1
GMC5BCFBAE9|0|0|0|0|1|0
GMCC44A1B78|0|1|1|1|0|1
GMC82633180|0|0|1|1|1|0
GMC0195508F|1|0|0|0|1|1
GMC56D0F5D3|0|0|0|0|1|0
GMC1078CBA7|0|1|0|1|0|1
HONAADA0096|1|0|1|0|1|0
HOND2D9698F|0|1|1|1|0|0
HON6E6DEAA6|1|1|0|0|0|0
HON88E60D60|1|0|1|0|0|0
HONAFB7BDBE|1|1|0|1|1|0
HONA556E8ED|1|0|0|0|1|1
HONBD9C249E|0|0|0|1|1|0
HON1B8B727D|0|0|0|0|0|0
HONBA0EC69E|1|1|0|0|0|1
HON37F794AD|0|1|0|1|0|0
HON1B0FC08F|0|1|0|1|1|1
HONF943B57D|1|0|0|0|0|1
HON421FD985|1|1|1|0|0|0
HON5A436B18|1|0|0|0|0|0
HONC794CFBD|0|0|1|1|0|1
HON7111B242|1|0|0|1|1|0
HON9F9440DE|0|0|1|0|1|1
HUMF6FCF7E7|1|0|1|0|0|0
HYU18B72EFD|0|1|1|1|0|0
HYU580C4D20|0|1|0|1|1|0
HYUB9F2144C|1|1|1|0|0|1
HYU6BB0790A|1|1|0|0|1|0
HYU7B7052E2|1|1|0|1|1|1
HYU1CE99235|1|0|0|1|0|0
HYU3CD023BC|0|0|1|0|1|1
HYU300A0942|1|1|0|0|0|1
HYU80D30999|1|0|0|1|1|1
HYU4BCE4CF0|0|0|0|0|1|0
HYU63E0A21E|0|0|0|0|1|1
HYU02DA085B|0|0|0|1|1|1
INF0189A021|1|0|0|1|0|0
INF7DCD2882|1|0|1|1|0|0
INF0F22CA95|1|0|1|0|0|0
INFB55E5D19|0|0|1|0|0|0
INFDA755782|0|0|0|1|0|1
INF0A78A9E8|0|0|1|1|1|0
INFF2D205F9|0|1|0|1|0|0
INF18871B77|0|1|0|0|0|0
ISU5F266CF4|0|1|0|0|0|1
ISUF93B4159|1|1|0|0|0|0
JAG599B1A0D|0|1|1|0|1|0
JAG3CD18A0B|0|1|0|1|1|1
JAGCEF6785C|0|1|1|1|1|1
JAG071E8C83|1|1|1|0|0|0
JAGE08397D5|1|1|1|1|0|1
JAGB42EC90C|0|1|1|0|0|0
JAGE1FF849B|1|1|1|1|1|1
JAGA39AC9AA|0|0|0|0|1|0
JAGD2749AED|1|0|0|1|1|1
JAG1AF71FA3|0|1|1|0|0|1
JAGE179760E|0|0|1|1|1|0
JAG28F2B038|0|0|1|0|0|0
JEE2A21CC2D|1|0|1|0|1|1
JEED2758E3F|1|0|0|1|0|1
JEEFC89B4ED|1|1|0|0|1|1
KIA0F23DEC0|1|1|0|1|1|1
KIA42D38E1F|1|1|1|0|1|0
KIADCECC88F|0|0|0|1|1|1
KIA025E0068|1|1|0|0|0|0
KIA8CFE35EE|1|0|0|1|1|1
KIAC5E4EE3C|0|1|0|1|1|0
KIA416A6876|0|1|1|1|0|1
KIA0A88B290|1|0|1|0|1|0
KIA8F6E3563|1|0|1|0|1|1
KIADCEDDC6C|1|1|0|1|1|1
KIA37A6D301|0|1|1|0|1|1
LAN8D64ED29|1|1|0|0|0|1
LAND3EC18A8|0|1|1|1|0|1
LAN0E7F71F1|0|1|0|0|0|0
LEXCB4FF99E|0|1|1|1|1|1
LEXF0FE39AC|0|0|1|1|1|0
LEX565FC72C|1|1|0|0|1|1
LEXF972F414|1|1|1|1|0|1
LEX638E3900|0|1|0|0|1|0
LEX62E433FB|1|0|1|0|0|0
LEXE4F9AD76|0|1|0|0|1|0
LEX162C84B3|1|1|1|1|1|0
LEX31B02686|0|0|0|0|0|1
LEXE8AC0541|1|1|0|0|0|0
LEX1FF20E1A|0|1|0|1|0|1
LIN9A31BF96|1|0|1|0|0|0
LINF6F2860E|1|1|0|0|1|0
LINA9F30F5A|0|1|1|0|1|1
LIN933B360F|0|0|1|0|0|1
LIN72DA79AA|1|1|0|0|0|0
LINC6A10FEE|0|1|1|0|1|0
LIN39FC3913|1|0|0|0|0|1
LIN585A2AE5|1|1|1|0|0|1
LIN57766540|1|0|0|0|1|0
MIN76F419D1|0|0|0|1|1|0
MIN4855F80D|0|0|0|0|0|1
MAZ16929EFE|0|0|0|0|0|1
MAZ63233CD1|1|0|1|1|0|0
MAZ07BAF697|0|1|1|1|1|0
MAZBE352757|0|0|0|1|1|0
MAZ2578E723|0|0|1|0|1|1
MAZAF312A57|0|0|0|1|0|1
MAZD75C181F|1|1|0|0|1|0
MAZ26587D15|0|0|0|1|0|1
MAZ4F45529D|1|1|1|0|0|1
MAZ57DC6B13|0|1|1|0|0|0
MAZ580441D7|1|1|0|0|1|0
MER78AF29A9|1|1|0|0|1|1
MERD21B3BEB|1|0|1|1|1|0
MER6B1F61D6|0|1|0|1|0|0
MERA3CD47D7|0|1|0|1|1|1
MER7494ADC2|0|1|0|0|1|0
MERC3E64656|0|0|1|1|0|1
MER89F97F12|1|0|0|0|0|1
MER9C101571|1|1|1|0|0|1
MER2ECC052D|1|1|1|1|1|1
MERE62B8253|0|0|1|1|0|1
MER1DCF8F33|1|1|0|1|1|1
MER57C9074F|0|0|1|0|0|1
MER8A607D51|0|0|1|0|1|0
MER876504DD|1|1|0|1|0|0
MER88E5887E|1|0|1|1|1|0
MER0810A9D8|0|1|1|1|1|0
MERE94D4BE3|1|0|0|1|0|1
MER1F1CCBB8|1|1|0|0|0|0
MERB2256530|1|0|0|0|0|0
MER3E1CCF76|0|1|1|0|1|1
MERD7D90B93|1|1|1|1|1|0
MER87A5A03D|0|0|0|1|1|0
MER16FF9E4A|1|0|1|0|1|1
MERE398EF29|1|1|0|0|1|0
MERB50E9B1C|1|0|0|0|1|0
MERC072210C|0|1|0|1|0|0
MERBB9D86C3|0|1|0|1|0|0
MER40D6E2EA|1|1|1|1|0|1
MER0A0BF287|1|1|0|0|0|1
MER1B09737E|1|1|0|1|0|0
MER2FF0981B|0|1|1|1|1|0
MER02DAF617|0|0|0|1|1|1
MERBF21168A|1|1|0|1|0|0
MERD341BD66|0|0|0|0|0|1
MER477419FC|1|1|0|1|1|0
MIT799FEB42|1|0|0|1|1|1
MIT4AFC37AB|1|0|0|1|0|1
MITD1B29ED1|1|1|1|1|0|1
MITF9D8A2ED|1|1|0|1|1|1
MITD169170C|1|0|1|1|1|0
MIT2A03FE7A|1|0|0|1|1|0
MIT6D467104|0|0|0|0|1|0
MIT492F7D42|0|1|1|0|1|1
MIT96A3DAB2|1|0|1|0|0|0
MIT31FB003C|1|0|1|0|1|0
MIT8D595BB8|0|0|0|0|1|0
MIT7ECD3E8B|1|1|1|0|1|1
MIT00CCE6CA|0|1|1|1|0|1
NISB2335DE2|1|1|1|0|0|1
NISE3AAF8A0|1|0|0|1|0|1
NIS59D44847|1|0|0|1|0|0
NIS60E1998E|1|0|0|1|0|1
NIS1321143A|1|1|0|1|1|1
NIS0FFF4AF7|0|1|0|1|1|0
NIS39F080B4|0|1|0|1|1|0
NISEA039766|1|1|0|0|1|1
NISC51044AC|1|0|0|1|1|0
NIS19DC1B52|1|1|0|0|0|1
NISA7A903F3|0|1|1|0|1|0
NIS9C819CB3|1|0|0|1|0|1
NIS964B0BE5|1|0|1|0|1|1
NIS75E90668|0|0|0|0|0|0
NISFEE3A002|0|0|1|0|1|0
NIS3B9730D3|1|1|0|0|1|0
NISC1C1D66A|0|0|0|0|0|0
OLD6D193A1C|0|0|0|1|1|1
OLDD93046B5|0|1|1|0|1|1
OLD22880819|1|0|0|1|0|1
PONE912685F|0|1|1|1|0|1
PON8935B7E8|1|0|1|1|1|0
PON49A0F8D6|1|1|1|0|1|1
PON21B42FC2|1|0|1|1|0|0
PON2BDE75ED|0|0|0|1|1|1
PON54370D79|1|1|1|0|0|0
PON06927A2E|0|0|0|1|0|1
PONC3D21809|0|1|1|0|1|1
PON7E0F2F13|0|0|0|0|0|0
PONE21BE36A|1|0|0|1|0|0
PON23E8E337|1|1|0|1|1|0
POR8D46DF29|1|1|0|1|0|0
PORC2C27112|1|0|0|0|0|0
POR31514F20|0|1|0|1|1|1
POR07229E38|1|1|0|1|0|0
POR3F3F7451|0|0|1|0|0|1
POR418B21D0|0|0|1|1|1|0
POR01FFC027|1|1|0|1|0|0
SAA19B57A2B|1|0|1|1|1|1
SAA7832D32D|1|0|0|1|0|0
SAA2844A15D|0|0|0|1|0|1
SAAA77D875C|0|1|1|1|0|0
SAA7288DC71|1|0|1|0|0|1
SAAD728FAC1|1|0|0|0|1|0
SAAB1017DB8|1|0|1|0|1|1
SAT78E7930F|1|1|1|1|0|1
SAT5EC1ED31|1|0|1|1|0|1
SAT6232C62D|0|1|0|1|1|0
SATE22901F9|0|1|1|1|0|1
SAT144F09FE|1|1|1|1|0|0
SAT2E26155E|1|1|1|0|0|1
SAT370F2BF2|0|1|0|1|0|1
SAT4F2871F7|0|0|0|1|0|0
SCI1D91B052|1|0|0|1|1|0
SCI20F98655|1|1|0|0|1|0
SUBED70E27D|0|0|1|1|1|0
SUB3D79FBF6|0|1|0|1|1|1
SUBEC5C1826|0|1|1|1|1|1
SUB2D0B45E4|1|0|1|0|0|1
SUB3B37FEE0|0|1|0|1|1|0
SUB0E1362A7|0|0|1|1|0|0
SUB2A14CFD4|1|1|0|1|1|1
SUBF3BB27D5|1|1|0|0|0|1
SUB1823BE2A|1|0|1|0|0|0
SUBB0475E73|0|0|0|1|0|0
SUB21511A80|0|0|0|0|1|0
SUZDA2AA60E|0|1|1|1|1|1
SUZDBE60A61|0|0|1|0|0|0
SUZ07673969|1|1|1|0|0|0
SUZ78E26F7A|0|0|1|1|0|0
SUZC3815215|0|1|0|1|0|1
SUZBA2B7CB7|0|1|0|0|1|0
SUZC76333C5|0|1|1|0|0|1
SUZ213D309B|0|1|0|0|0|0
TOY921AEAF1|1|0|1|1|0|1
TOYEA996750|0|0|0|0|0|0
TOY03963A58|0|1|0|1|1|0
TOYAF123C64|1|1|1|0|1|0
TOY61CEC8C5|0|0|1|1|0|0
TOYD71B2067|1|0|0|0|0|0
TOY9308DBAC|0|1|1|1|0|0
TOY71A162B9|1|0|1|0|0|1
TOY9934A399|1|0|1|1|0|0
TOYC281D3E2|0|0|1|1|1|1
TOYDBF99A82|1|1|0|0|0|1
TOY198ED124|1|0|0|0|0|0
TOYD75B8268|1|0|0|1|0|1
TOY39D81D16|1|1|0|0|0|1
TOY40902DDB|0|0|1|0|0|0
TOY17F9358A|1|1|1|1|1|0
TOY4C7B2C6A|0|1|1|1|1|0
TOY98E0C169|0|1|1|1|1|1
TOY45EC3689|0|0|0|0|0|1
TOY4A3FA466|0|0|0|0|1|1
TOY950EC112|0|1|1|0|0|0
TOYFB7D7CFC|1|1|0|0|0|1
TOY09324793|1|1|1|1|0|1
TOY0ACDC4EB|1|0|0|1|1|1
TOY69F69484|1|0|1|0|1|1
TOY8EC1453C|1|0|1|1|0|0
TOYA5C08509|1|1|0|1|0|0
TOY7038D4B2|1|1|0|0|0|1
VOL53D66DF7|0|0|1|1|1|0
VOLA9C4F8FB|0|0|0|0|0|0
VOL26590289|0|0|0|1|0|0
VOL51E923EE|1|1|0|1|1|0
VOL3E4BBF06|1|1|1|1|1|1
VOL0AB8F574|1|0|0|0|0|1
VOL67B45A07|1|0|1|1|0|0
VOL6ABCC11C|1|1|0|0|0|0
VOL848CF422|0|0|0|1|0|0
VOLC4A9E6E8|1|0|1|0|1|1
VOLAAB6D3D0|0|1|1|1|0|1
VOL113AF2BA|0|0|0|0|0|1
VOL62768101|1|1|1|1|1|0
VOLC7113640|1|1|1|1|0|0
VOLEDB1106B|0|1|1|0|1|1
VOL3271498A|0|0|0|0|0|0
VOL4491F60D|0|0|0|1|0|1
VOL7F32E164|1|1|0|0|0|1
VOL57A321D1|0|1|0|1|0|0
VOLEBF67762|1|0|1|0|1|1
VOLE5E0AD83|1|1|0|1|0|1
VOL34C043BD|0|0|1|0|1|0
VOLE19D1CD5|1|0|1|0|1|0
VOLC885BC04|0|1|0|1|0|1
VOL966697EF|1|0|1|0|1|1
VOL906135F9|1|0|0|1|1|0
VOL9FD35760|0|1|0|1|0|1
